goos: darwin
goarch: arm64
pkg: excbench/panicpkg
cpu: Apple M1
BenchmarkNormalPath-8             	85480740	        13.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	91742823	        13.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	94034674	        14.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	85848933	        13.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	92810416	        13.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	93664018	        13.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	92147319	        13.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	90902775	        13.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	89624413	        12.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPath-8             	92758706	        12.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	335538214	         3.582 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	329392856	         3.581 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	334260478	         3.587 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	336177219	         3.595 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	337936663	         4.038 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	277612034	         4.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	271440627	         3.799 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	329647575	         3.620 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	332657852	         3.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkNormalPathNoHandlers-8   	332295946	         3.630 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 6966194	       190.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 6588906	       168.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7266861	       165.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7202256	       166.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7422582	       163.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7289323	       168.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 6834225	       172.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7021237	       170.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7124358	       171.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8           	 7084443	       180.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5523771	       225.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5110560	       239.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5512664	       227.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5838254	       205.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5817152	       206.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5765656	       206.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5888064	       210.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5870913	       208.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5739376	       209.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropFree-8           	 5573256	       211.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropRethrow-8        	  690271	      1628 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepPropRethrow-8        	  755486	      1601 ns/op	       0 B/op	       0 allocs/op
