goos: darwin
goarch: arm64
pkg: gcopt/q1_devirt
cpu: Apple M1
BenchmarkDirect-8           	147646372	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	169623560	         2.129 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	169592796	         2.123 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	169666830	         2.120 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	169418673	         2.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	169815692	         2.404 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	143077436	         7.600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	161371538	         3.192 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	167788036	         2.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirect-8           	168124490	         2.117 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	145858971	         2.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	146897479	         2.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	146944573	         2.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	146934477	         2.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	145410040	         2.448 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	146994722	         2.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	144879320	         2.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	146611516	         2.490 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	144759698	         2.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceLocal-8   	145346512	         2.448 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	170799459	         2.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	170489323	         2.109 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	170387652	         2.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	158795652	         2.135 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	167316436	         2.218 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	156322795	         2.121 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	169518793	         2.473 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	168030031	         2.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	168274722	         2.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertThenCall-8   	168788800	         2.109 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpaqueMono-8       	171121807	         2.113 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpaqueMono-8       	172195695	         2.084 ns/op	       0 B/op	       0 allocs/op
