goos: darwin
goarch: arm64
pkg: objbench/hybrid
cpu: Apple M1
BenchmarkCallMonoD3-8     	411186265	         2.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	380232102	         3.076 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	398606372	         2.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	441181944	         2.791 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	395825035	         2.892 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	440832609	         2.678 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	401425114	         2.994 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	444817254	         2.567 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	450921076	         2.644 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	427236062	         2.730 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	425362095	         2.829 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	336912993	         4.267 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	363279637	         3.393 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	286387808	         3.777 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	344015779	         3.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	323468916	         3.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	361702623	         3.244 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	346718680	         3.437 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	355808398	         3.490 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	349353919	         3.549 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	306748988	         4.041 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	321738567	         3.852 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	300466222	         3.925 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	305789193	         3.862 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	306910275	         3.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	338317485	         3.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	351199382	         3.509 ns/op	       0 B/op	       0 allocs/op
